software,reference,group,score,scoreN,score1,score1N,score2,score2N,score3,score3N,score4,score4N,score5,score5N,1_2_3,1_3_1,1_3,1_5_1,1_5_2,1_6_1,1_6_2,2_1,2_2,2_3,2_4,3_1_1,3_1_2,3_1_3,3_1_4,3_1_5_1,3_1_5_2,3_1_5_3,3_1_5_4,3_2_1,3_2_2,3_2_3,3_2_4,4_1,4_2,4_3_1,4_3_2,4_3_3,4_3_4,4_3_5,5_1,5_2_1,5_2_2,5_2_3,5_2_4,5_3_1,5_3_2,5_3_3,5_4_1,5_4_2,description,link
ABSEN,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Study and display of crystal structures, thermal ellipsoid plots, mouse based interactive editing of Shelx files with auto atom sort. RASTEP and RENDER have been added to the system giving realistic rendered 3D pictures from the same view as ORTEX direct from Shelx.INS files.",http://www.iucr.org/resources/other-directories/software/absen
ABSORB,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brennan-Cowan X-ray absorption, reflection and dispersion calculation. Calculates f' and f'' based on theoretical work of Cromer and Liberman calculates Rayleigh and Compton cross-section based on McMaster.",http://www.iucr.org/resources/other-directories/software/absorb
ABSORB-7 and ABSORB-GUI,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ABSORB is a program to calculate and apply absorption corrections to single-crystal X-ray intensity data, has been reconfigured to allow it to be called directly from external data processing programs. ABSORB-GUI has been developed to allow much easier specification of standard experiments.",http://www.iucr.org/resources/other-directories/software/absorb-7-and-absorb-gui
ACNUC,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACNUC is a retrieval system for the nucleotide sequence databases.,http://www.iucr.org/resources/other-directories/software/acnuc
Acquisition of Images,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digitization software.,http://www.iucr.org/resources/other-directories/software/acquisition-of-images
ADM,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Solution including device control, the diffractogram evaluation, qualitative and quantitative phase analysis, indexing, lattice parameter refinement, crystal size evaluation, micro-stress analysis, profile analysis and pattern simulation.",http://www.iucr.org/resources/other-directories/software/adm
ALIGN,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Superimposition of protein coordinates accounting for insertions and deletions.,http://www.iucr.org/resources/other-directories/software/align
Alscript,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alscript is a program to format multiple sequence alignments in PostScript for publication and to assist in analysis.  Alscript does not support point-and-click, but has a scripting language to allow complex effects.",http://www.iucr.org/resources/other-directories/software/alscript
Altwyk,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altwyk is a stand-alone program which produces the general position and Wyckoff positions for any space group symbol listed in <i>International Tables for Crystallography</i>, Vol. A (1983). Altwyk can currently process over 1,000 of them, probably covering all actual literature cases, but we are still implementing new odd symbols. Written by Y. Le Page and S. Raymond",http://www.iucr.org/resources/other-directories/software/altwyk
Amas,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Automatic analysis of multiple protein sequence.,http://www.iucr.org/resources/other-directories/software/amas
AMBER,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Model Building with Energy Refinement.,http://www.iucr.org/resources/other-directories/software/amber
Amps,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Multiple protein sequence alignment and flexible pattern.,http://www.iucr.org/resources/other-directories/software/amps
ANAELU,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Software package ANAELU (analytical emulator Laue utility) has been created for aiding the interpretation of two-dimensional X-ray diffraction patterns produced by textured (bulk and nanostructured) samples. ANAELU is composed of three interconnected applications, corresponding to three crystallographic tasks: structure representation, two-dimensional pattern analysis and diffraction simulation.",http://www.iucr.org/resources/other-directories/software/anaelu
ANODE,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The program determines anomalous (or heavy-atom) densities by reversing the usual procedure for experimental phase determination. Instead of adding a phase shift to the heavy-atom phases to obtain a starting value for the native protein phase, this phase shift is subtracted from the native phase to obtain the heavy-atom substructure phase.",http://www.iucr.org/resources/other-directories/software/anode
ANSIG,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Analysis of NMR spectra. Tool for analysis and assignment of multidimensional spectra.,http://www.iucr.org/resources/other-directories/software/ansig
ANTHEPROT,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Protein analysis. Web on-line tool.,http://www.iucr.org/resources/other-directories/software/antheprot
Archive for MacOS,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MacOs software,http://www.iucr.org/resources/other-directories/software/defunct/archive-for-macos
ARITVE,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modelling amorphous structures by a Rietveld-type refinement of the atomic coordinates.,http://www.iucr.org/resources/other-directories/software/aritve
ARP/wARP,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ARP/wARP is used for automated building and refinement of protein structures. Real space pattern recognition, refinement and model update are combined with reciprocal space refinement to construct and improve protein models. ARP/wARP can also be used for ab initio structure solution of metalloproteins at high resolution.",http://www.iucr.org/resources/other-directories/software/arpwarp
ASF88,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,For the generation and calculation of the X-ray atomic scattering factors of any atom/ion and graphical output in two formats. Exists as GUI version named asf88win.,http://www.iucr.org/resources/other-directories/software/asf88
Assp,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The program takes a multiple protein sequence alignment and estimates the range in accuracy that one can expect for a ""perfect"" secondary structure prediction made using the alignment.",http://www.iucr.org/resources/other-directories/software/assp
AUTO_XPL,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Automates many of the computational steps involved in using X-PLOR.,http://www.iucr.org/resources/other-directories/software/auto_xpl
AutoDep,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Autodep is a tool designed for the deposition into the Protein Data Bank of molecular coordinates data generated by the experimental procedures, viz. protein crystallography, NMR, EM.",http://www.iucr.org/resources/other-directories/software/autodep
AXES,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Program for X-ray powder diffraction data evaluation that is specially designed for peak-shape analysis and data preparation for Rietveld refinement in connection with the FULLPROF program.,http://www.iucr.org/resources/other-directories/software/axes
AZARA,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Analysis of NMR spectra. Suite of programs for the processing of multidimensional spectra,http://www.iucr.org/resources/other-directories/software/azara
BABEL,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Program designed to interconvert a number of file formats currently used in molecular moldeling. rpm for Linux available at ftp site.,http://www.iucr.org/resources/other-directories/software/babel
Baxmap,,C,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Visualisation , transformation and analysis of crystallographic coordinates. Allows for both crystallographic and non-crystallographic transformations, with such modifications as bond lengths, angles and torsions, as well as reorientations of molecules within the unit cell. Written by Ian Baxter at Imperial College.",http://www.iucr.org/resources/other-directories/software/baxmap
BayesApp,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A web site for indirect transformation of small-angle scattering data. No user input is necessary beyond the experimental data. Results of the analysis can be downloaded from the web site in the form of ASCII files.,http://www.iucr.org/resources/other-directories/software/bayesapp
BayesApp: update,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"An update for BayesApp, a web site for analysis of small-angle scattering data, is presented. Most importantly the indirect transformation of data now includes an option for a maximum-entropy constraint in addition to the conventional smoothness constraint. A correction for slit smearing is possible, and options for calculation of the scattering intensity from simple models as well as estimation of structure factors for nonspherical objects have also been added.",http://www.iucr.org/resources/other-directories/software/bayesapp-update
BEAM-ish,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Graphical user interface for processing of multiple superfine &phi;-sliced diffraction images for mosaicity calculation.,http://www.iucr.org/resources/other-directories/software/beam-ish
BenchFFT,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Benchmark of a large number of publicly-available FFT implementations, both in C and in Fortran, and measures their performance and accuracy over a wide range of transform sizes.",http://www.iucr.org/resources/other-directories/software/benchfft
Better User Group Software,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The main activity of the NOBUGS group has so far been the organization of a series of conferences. The aim of these conferences is to foster collaboration between IT professionals working at X-ray and neutron sources around the world. This collaboration should yield better data acquisition and data analysis software for the users of such facilities. This in turn will increase user productivity and thus maximize the scientific result to be obtained from the large investment required to build and maintain X-ray or Neutron facilities.,http://www.iucr.org/resources/other-directories/software/better-user-group-software
BGMN,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rietveld refinement program. Fully automatic calculation which requires no user interaction. Automatic correction of strong and multiple preferred orientation with spherical harmonics. Common model for anisotropic peak broadening. Phase analysis of disordered layer silicates by implementation of advanced real structure models. Correction of microabsorption with the Brindley model. Easy-to-use model for refinement of site occupancy. Refinement of amorphous content with an internal standard. Special features for structure investigation and refinement. Related programs EFLECH/INDEX. Full demo available on site.,http://www.iucr.org/resources/other-directories/software/bgmn
Biological software EBI,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archive for biological software at EBI.,http://www.iucr.org/resources/other-directories/software/biological-software-ebi
Biological software JHU,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Archives for Biological Software and Databases Around the World,http://www.iucr.org/resources/other-directories/software/defunct/biological-software-jhu
BIOMOL,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In the Crystallography group at the University of Groningen, Netherlands a number of programs have been developed for the manipulation of Crystallographic data. These programs have been bundled in a package, known as the BIOMOL package.",http://www.iucr.org/resources/other-directories/software/biomol
Bioperl,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bioperl is an association of developers of public domain Perl tools for computational molecular biology,http://www.iucr.org/resources/other-directories/software/bioperl
BLANC,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection of programs for macromolecular structure determination. Among others the suite contains the programs SFCHECK, MOLREP, CONTACT, LIBCHECK, MAKECIF, EMIN, MIR, SIR,TRAHALO.",http://www.iucr.org/resources/other-directories/software/blanc
BLAST,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sequence similarity measurement.,http://www.iucr.org/resources/other-directories/software/blast
BOB,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blast output Browser.,http://www.iucr.org/resources/other-directories/software/bob
Bonsu,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Versatile tool for phase retrieval and data visualization in both two and three dimensions. The software should be of use to the coherent diffraction imaging community. The developers aim to provide further enhancements in future releases with additional algorithms being incorporated.,http://www.iucr.org/resources/other-directories/software/bonsu
BREADTH,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A simple integral-breadth-type program for analyzing diffraction line broadening. The program calculates domain size and strain from input integral breadths of at least two physically broadened diffraction-line profiles according to the Warren-Averbach approach.,http://www.iucr.org/resources/other-directories/software/breadth
BSSB: BLAST Server,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Basic Local Alignment Search Tool (BLAST) is one of the most widely used sequence alignment programs, but none of the existing tools for processing BLAST output provide three-dimensional structure visualization. This shortcoming has been addressed in the proposed tool BLAST Server for Structural Biologists (BSSB), which maps a BLAST output onto the three-dimensional structure of the subject protein.",http://www.iucr.org/resources/other-directories/software/bssb-blast-server
BUNYIP,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Program for detecting missing symmetry elements in crystal structures.,http://www.iucr.org/resources/other-directories/software/bunyip
BUSTER,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.iucr.org/resources/other-directories/software/buster
CACTVS,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chemical Computing. 2D structure editor and display and much more.,http://www.iucr.org/resources/other-directories/software/cactvs
CAF2_AN,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"To refine parameters in the anharmonic approximation. Refines individual thermal, scale, extinction parameters in CaF2 type structures.",http://www.iucr.org/resources/other-directories/software/caf2_an
CALCRYS,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crystallographic calculator to work with vectors defined either in real or in reciprocal three-dimensional space, expressed either in Cartesian or in crystallographic (fractional) coordinates. Unit cells can be defined also either in real or in reciprocal space.",http://www.iucr.org/resources/other-directories/software/calcrys
CAMEL JOCKEY,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absorption correction programs,http://www.iucr.org/resources/other-directories/software/camel-jockey
CAOS,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Caos covers most of the crystallographic calculation: data reduction, intensity statistics, Fourier and Patterson synthesis, automatic Patterson solution, peaks interpretation, structure factor and least squares calculation with user defined blocked matrix, geometrical calculation, molecular display, publication tables, CIF files.",http://www.iucr.org/resources/other-directories/software/caos
CCL,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CCSL (Cambridge Crystallographic Subroutine Library) is a library of fortran subroutines from which you can easily build your own programs. Both the CCSL library and a few fortran programs that have been built using this library including FOURPL and FOURTK, least squares-programs, etc, are available free of charge from the author Jane Brown (brown@ill.fr). The library is strict f77 and has been installed in both VMS and UNIX machines",http://www.iucr.org/resources/other-directories/software/defunct/ccl
CCP14,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Powder programs of all sorts,http://www.iucr.org/resources/other-directories/software/ccp14
CCP4,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suite for protein crystallography. Programs and newsletter. Version 3.3. Documentation for most of the programs is now distributed in html format.,http://www.iucr.org/resources/other-directories/software/ccp4
CCSL,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Cambridge Crystallography Subroutine Library is a collection of many Fortran routines which will allow you to tailor your own application to do just about everything in crystallography.,http://www.iucr.org/resources/other-directories/software/ccl
CCTBX,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Computational Crystallography Toolbox (cctbx) is a reusable scientific software library for: - the development of crystallographic structure determination programs. - the integration of existing crystallographic programs through helper scripts. - hands-on teaching crystallographic concepts. The cctbx is designed with an open and flexible architecture to promote extendability and easy incorporation into other software environments.,http://www.iucr.org/resources/other-directories/software/cctbx
CELLSIZE,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Powder XRD Software. Unit-cell refinement spectrum. Program by David G Hay at CSIRO.,http://www.iucr.org/resources/other-directories/software/cellsize
"CELLTR, HKLTR, COORDTR",,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Transformation of cell data, Miller indices and atomic coordinates and their estimated standard deviation. Copies available by the Managing Editor, IUCr Office, 5 Abbey Square, Chester CH1 2HU, England, ref: TH0013.","http://www.iucr.org/resources/other-directories/software/celltr,-hkltr,-coordtr"
Celsiz,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Refinement of lattice parameters for all symmetries. Program by David G. Hay at CSIRO.,http://www.iucr.org/resources/other-directories/software/celsiz
Cerius2,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Molecular simulation package from Molecular Simulations. Easy-to-use simulation and modeling environment, offering a broad range of scientific application modules.",http://www.iucr.org/resources/other-directories/software/cerius2
CGI programming,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crystallographic computing tutorial about CGI,http://www.iucr.org/resources/other-directories/software/cgi-programing
CHARMM,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A Program for Macromolecular Energy, Minimization, and Dynamics Calculations. References:",http://www.iucr.org/resources/other-directories/software/charmm
Chekcell,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Performs a ""Best Solution"" based on the ratio of Observed to Calculated peaks for a particular cell/spacegroup combination. It can thus highlight interesting cells that may not have a high FOM, but on the basis of parsimony of excess reflections.",http://www.iucr.org/resources/other-directories/software/chekcell
Chem3D,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Molecular modeling with a full feature set and easy-to-use tools. Build models using click-and-drag operations. Open files created in all industry-leading modeling formats. Display orbitals and structures calculated in Chem3D Ultra or Chem3D Pro. Save your work as GIF, EPS, PICT, WMF, Cartesian coordinate, or Chem3D native file format. Add 3-D structures to your reports, graphs, or presentations.",http://www.iucr.org/resources/other-directories/software/chem3d
ChemDex,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A UK based software database for chemistry,http://www.iucr.org/resources/other-directories/software/chemdex
Chemistry 4-D Draw,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chemistry drawing programm,http://www.iucr.org/resources/other-directories/software/chemistry-4-d-draw
Chemistry Dept Texas,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A number of utilities for structure determination around SHELX and other programs.,http://www.iucr.org/resources/other-directories/software/defunct/chemistry-dept-texas
Chemistry Engines,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WWW user interface for file conversion. PDB, MDL, MOL2, XYZ, Alchemy, CHARMm) into images (GIF, PS, RGB, RAS, BMP, PPM, molfiles (PDB, MOL2) into VRML files",http://www.iucr.org/resources/other-directories/software/chemistry-engines
Chem-Ray,,C,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chem-Ray is a molecular graphics program written for Windows-95. A demo version of Chem-Ray is available for downloading. The full version of Chem-Ray is available from the Molecular Structure Corporation/Rigaku.,http://www.iucr.org/resources/other-directories/software/chem-ray
ChemSketch,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chemistry, Graphics, visualization, virtual reality, Structure, Teaching.",http://www.iucr.org/resources/other-directories/software/chemsketch
Chi90s,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Little utility program to scan a CAD4 data file for reflections which are suitable for making psi scan data for an absorption correction. The new twist is that if a reflection passes some preliminary criteria (on theta and net intensity), but the chi value is too low, the program then calculates the chi values for the non-Friedel pair symmetry equivalents for that reflection.",http://www.iucr.org/resources/other-directories/software/chi90s
CHIME,,C,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chemical structure plug-in that allows to include dynamic chemical structures in your Web pages. Requires ISIS/Draw,http://www.iucr.org/resources/other-directories/software/chime
CHOOCH,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"To calculate anomalous scattering factors from X-ray fluorescence data measured from protein samples. Calculates the f'' and f' contributions to anomalous scattering and determines X-ray energies where f'' is maximum and f' is minimum, i.e. energies appropriate for collection of multiple wavelength diffraction (MAD) data.",http://www.iucr.org/resources/other-directories/software/chooch
CIF,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The International Union of Crystallography is the sponsor of the Crystallographic Information Framework (CIF), a standard for information interchange in crystallography. The acronym CIF is used both for the Crystallographic Information File, the data exchange standard file format of Hall, Allen & Brown (1991) and for the Crystallographic Information Framework, a broader system of exchange protocols based on data dictionaries and relational rules expressible in different machine-readable manifestations, including, but not restricted to, Crystallographic Information File and XML.",http://www.iucr.org/resources/other-directories/software/cif
CIF2,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Converts CIF files to assorted tables, SHELXL-93 input files, experimental write up etc. Program by JH Reibenspies at Texas A&M.",http://www.iucr.org/resources/other-directories/software/defunct/cif2-cif2
CIF2Cell,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CIF2Cell generates the geometrical setup of a crystallographic cell for a number of electronic structure programs from data contained in a CIF file. Generates input for the codes ABINIT, CASTEP, CPMD, Crystal09, Elk, EMTO, Exciting, Fleur, RSPt, Siesta and VASP.",http://www.iucr.org/resources/other-directories/software/cif2cell
CIFLIB,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Software library that provides simple and convenient access to CIF dictionaries and data files.,http://www.iucr.org/resources/other-directories/software/ciflib
CifSieve,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Eases the task of adding a CIF file input interface to existing Fortran or C programs. It generates a customized input function from user-specified variable names in a DDL dictionary. This function can be then be linked into C or Fortran programs. Bison, Flex, Perl and C must already be installed.",http://www.iucr.org/resources/other-directories/software/cifsieve
CLEARER,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool for the analysis of X-ray fibre diffraction patterns and diffraction simulation from atomic structural models,http://www.iucr.org/resources/other-directories/software/clearer
CLUSTAL W,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Multiple alignment program,http://www.iucr.org/resources/other-directories/software/clustal-w
ClustalW2 interface,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Graphical interface for ClustalW. Uses the NCBI toolkit. Multiple sequence alignment.,http://www.iucr.org/resources/other-directories/software/clustalw-interface
ClustalX,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClustalX is the graphical version of Clustal used for multiple sequence alignment,http://www.iucr.org/resources/other-directories/software/clustalx
CLUSTERGEN,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<i>CLUSTERGEN</i> provides the quantum mechanics/molecular mechanics (QM/MM) input files for program packages such as <i>ADF</i>  and <i>GAUSSIAN</i>. Additionally, it prints out a standard <it>CRYSTAL</i> input and, in general, facilitates file-format manipulation. The <i>CLUSTERGEN</i> program is supported by an extensive manual and a user-friendly graphical interface. The code is freely available and carefully commented, which makes it easily modifiable. Exemplary applications of <i>CLUSTERGEN</i> concerning QM/MM calculations and derivation of nucleus-independent chemical shift indices are demonstrated.",http://www.iucr.org/resources/other-directories/software/clustergen2
Cn3D,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cn3D is a new structure viewer that is based on the Entrez data model. It is a client-server application - meaning you can immediately fetch structures you wish to see over the Internet in a single session.,http://www.iucr.org/resources/other-directories/software/cn3d
CNS,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crystallography & NMR System (CNS) is the result of an international collaborative effort among several research groups. The program has been designed to provide a flexible multi-level hierachical approach for the most commonly used algorithms in macromolecular structure determination. Highlights include heavy atom searching, experimental phasing (including MAD and MIR), density modification, crystallographic refinement with maximum likelihood targets, and NMR structure calculation using NOEs, J-coupling, chemical shift, and dipolar coupling data..",http://www.iucr.org/resources/other-directories/software/cns
CNX,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Based on X-PLOR and CNS. Offers functionality that can significantly increase the speed of the structure solution process. Integrates X-ray diffraction and NMR spectroscopic data with molecular mechanics, dynamics, and energy minimization to aid in the solution of three-dimensional molecular structures.",http://www.iucr.org/resources/other-directories/software/cnx
COMPANG,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.iucr.org/resources/other-directories/software/compang
COMPDIS,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reads a SHELXL-PLUS file (with bond distances) and outputs a pair-wise statistical comparison of bond lengths. Program by JH Reibenspies at Texas A&M.,http://www.iucr.org/resources/other-directories/software/compdis
ConInspector,,Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced consensus definition and recognition. AG BIODV: Software Development for Molecular Biology,http://www.iucr.org/resources/other-directories/software/coninspector
